address_id,street_number,street_name,zip,city_state_id
112,626,Lakeridge Dr SE,30094,4109
113,721,East Armour Boulevard,64109,12967
114,600,Central St,64102,12967
115,2915,Sharer Rd,32312,3929
116,1201,Covell Village Drive,73003,19737
117,5483,Summerland Dr,50701,5536
118,1258,NW 3rd Avenue,32601,3650
119,717,University Drive,77840,23806
120,230,S Chauncey Avenue,47906,7763
121,737,NW Douglas St,76028,23728
122,2004,McCarthy Road,50014,4689
123,43316,W Kimberly St,85138,1459
124,7401,E Speedway Boulevard,85710,1570
125,4002,Raynor Parkway,68123,15325
126,0,1777 10th St SE,55025,11997
127,8288,Wooster Pike,45227,18730
128,701,NE Ridgeview Dr Apartment B,64089,13010
129,0,2101 22nd Ave,80631,2956
130,702,W Western,61801,6995
131,855,Emory Point Dr,30329,4008
132,39900,Blacow Rd,94538,1976
133,1404,South Bay Villa Place,33629,3930
134,2065,W College Ave,92407,2521
135,0,1616 156th Ave Northeast,98007,26246
136,14812,Bothell Way NE,98155,26425
137,1610,West James Place,98032,26413
138,0,35703 16th Avenue S,98003,26359
139,9712,Bosque Creek Cir,33619,3930
140,42,West Hill Rd,02740,9851
141,0,2 Driftwood Court,21221,10082
142,3601,Market St,19104,21657
143,902,Emanuel Cleaver II Boulevard,64110,12967
144,12800,Woodforest Blvd,77002,24133
145,7740,W Little York Rd,77002,24133
146,1200,Post Oak Boulevard,77002,24133
147,2727,West 18th St,77002,24133
148,15691,Paiute Circle,80132,3055
149,1385,NW 22nd Avenue,97210,20399
150,2037,Yale Avenue E,98102,26593
151,900,E 13th St,78626,24035
152,119,N 38th St,68131,15634
153,608,Kaimalino Place,96734,4607
154,300,Parsippany Road,07054,16413
155,6250,Hillandale Drive,30058,4284
156,188,Pinellas Ln #401b,32931,3574
157,125,N 1st St,81501,2952
158,30115,Carmel Bay,78628,24035
159,525,Jones Avenue,78606,23666
160,0,2747 20th Place,97116,20260
161,7930-7950,Tatum Waterway Dr,33141,3783
162,401,S Eton St,48009,10966
163,4311-4317,Charles,68131,15634
164,1830,E Johnson #19,72401,1032
165,249,N Water St,53202,27113
166,4317,Spruce St,19104,21657
167,12403,Mellow Meadow Dr,78750,23607
168,8123-8137,Cascio CT,91945,2166
169,6608 6612,South Freeway,76134,24000
170,1308,Park Avenue,68105,15634
171,8130,Red Stopper Ln,34787,3969
172,149,N Bagdad Road,78641,24258
173,2601,Esperanza Crossing,78758,23607
174,4700,N Capital Of Texas Hwy,78746,23607
175,8600,Brodie Lane,78745,23607
176,3201,Duval Road,78759,23607
177,2130,Hawes Avenue Unit 677,75235,23860
178,8527,N Capital Of TX Highway,78759,23607
179,306,Barton Springs Road,78704,23607
180,301,W 3rd St,78701,23607
181,1217,N Hancock St  202,19122,21657
182,2588,N Houston St Apartment 1619,75219,23860
183,3703,Harmon Avenue,78705,23607
184,555,N Broad St,18901,20884
185,7450-7456,N Greenview Ave,60626,6061
186,63,East Center St,84601,25157
187,1561,Inverness Rd,32034,3630
188,2464,N Geneva Terrace,60614,6061
189,1117,Griswold St,48226,11096
190,2624,Cleat Lane,95818,2511
191,924,Belmont Ave,90804,2190
192,123,Palomino Place,95020,1993
193,3150,Woodward Avenue,48201,11096
194,215,Saint Paul St,02446,9654
195,13626,W Baldcypress St,83713,5613
196,2339,N Geneva,60614,6061
197,691,O'Farrell St,94109,2528
198,209,Tavern Fare Rd,29223,22380
199,1103,W Pine Ave,83642,5741
200,33,Lynn Batts,78218,24678
201,2210,Rogers Rd,78251,24678
202,4808,Grand Avenue,52807,4869
203,299,Carpenter St,02909,22300
204,401,W Springfield,61801,6995
205,1836,Alder St,97401,20254
206,601,Vairo Boulevard,16803,21914
207,235,Ironworks Ave,46544,7498
208,3731/3745,Technology Dr NW,55901,12348
209,317,Vine St,47906,7763
210,3431,Wyndham Way,47906,7763
211,0,1100 55th St N,58203,15046
212,2074,College Heights Road,66502,8152
213,8519,N 55th Ave,85302,1415
214,225,W 3rd St,90802,2190
215,10847,W Olive Avenue,85345,1491
216,1480,Runaway Bay Dr,43204,18752
217,4531,Langdon Dr,27560,14621
218,5300,Montague St,28205,14297
219,16350,S Harbor Blvd,92704,1972
220,611,NE Ridgeview Drive,64086,13010
221,1225,W Park Way,46214,7390
222,5000,Mountain Springs Road,37013,23046
223,200,Kedron Pwky,37174,23482
224,1610,Lombard St,94123,2528
225,0,3615 147th Place Northeast,98007,26246
226,1531,Inspiration Dr,75207,23860
227,9524,Foggy Meadow Rd,28269,14297
228,333,Hyde St,94109,2528
229,500,Seven Trail Dr,63011,12576
230,2121,Allen Parkway,77002,24133
231,10800,Clay Road,77002,24133
232,4015,Normandy St,58503,14942
233,11931,Dorothy St,90049,2196
234,1488,Bailee Way,36265,492
235,2406,NW 34th,73112,19958
236,3755,Mentone Ave,90034,2196
237,2222,E Huntington Dr,91010,1889
238,0,2 Mint Plaza 402,94103,2528
239,84,Crawford Parkway,27520,14308
240,125 S 300,E,84111,25172
241,4260,Manchester Avenue Apartment A,63110,13272
242,4170,Hawthorne Road,83202,5630
243,71,S Sherman St,80209,2894
244,1704,Pleasant Valley Rd,94611,2341
245,26123,Bouquet Canyon Rd,91350,2557
246,210,NW 20th Avenue,97209,20399
247,13614,Clubside Dr,33625,3930
248,409,North 8th St,58203,15046
249,1090-1108 N Hanley 7461-98,Ahern,63130,13272
250,0,1111 18th Avenue,98122,26593
251,601 609 N Teton Dr 1300-1320,Keystone Dr,57005,22703
252,104,W Sunnyside Way,12180,18384
253,830,E River Park Ln,83706,5613
254,802,Stanford,77019,24133
255,3007,Jackson St,68105,15634
256,5744,Thomaston Road,31220,4300
257,720 S 30th St 3017,St Mary's Avenue 3020 Leavenworth St,68105,15634
258,4051,N Kilbourn Avenue,60641,6061
259,9807,North Fm 620,78726,23607
260,2991,Clay St,42001,8917
261,0,Pleasant Square Apartments 788 Pleasant Ave,97045,20385
262,845,N Harvard Boulevard,90029,2196
263,1454,S Norton Avenue,90019,2196
264,2215,E 51st,78723,23607
265,4525,Guadalupe,78751,23607
266,812,Inverness Avenue,37204,23366
267,6280,McNeil Drive,78729,23607
268,1301,North A.W Grimes Boulevard,78664,24655
269,12041,Dessau Rd,78754,23607
270,16661,E McFadden Avenue,92780,2696
271,16760,Ronald Reagan Boulevard,78641,24258
272,1728,Barton Springs Road,78704,23607
273,5800,Wellington Drive,78723,23607
274,5400,S Graystone Avenue,57108,22960
275,1704,Nelms Dr,78744,23607
276,1200,South 10th St,78660,24530
277,326,S Flores St,78204,24678
278,1616,River Road #104,32207,3706
279,1390,Troy St,80111,2817
280,3330,Mount Logan Drive,95127,2534
281,5300,NW Loop 410,78229,24678
282,5755,Callie Lane,95811,2511
283,5307,Ravenna Place NE #06,98105,26593
284,6012,N Kenmore,60660,6061
285,4346-4348,Townsend Ave,94602,2341
286,1309,Main St Apartment 606,75202,23860
287,7905,San Felipe Boulevard,78729,23607
288,14000,The Lakes Boulevard,78660,24530
289,6343,N Wayne Avenue,60660,6061
290,6416,N Lamar Boulevard,78752,23607
291,5121,Bakman Ave Unit 208,91601,2327
292,11929,Yellow Fin Trail,32827,3834
293,76,W Adams Avenue,48226,11096
294,570,Pullman Rd Unit A,94010,2054
295,417,W Roscoe,60657,6061
296,5709,N 62nd Dr,85301,1415
297,11712,Rimrock Canyon Dr,28226,14297
298,424,S Bender Avenue,77338,24139
299,1924,Hamby Place Dr,30102,3982
300,7301,W Ohio Avenue,80226,3012
301,13407,Montclair Dr,68144,15634
302,14496,Airline Hwy,70737,9322
303,4949,Stumberg Ln,70816,9183
304,3601 East Mile 8,North,78599,24908
305,1030,Douglas Ave,32714,3497
306,700,Westminster Drive,37067,23209
307,5413,Aurora Avenue,50310,4889
308,1020,Ashworth Road,50265,5556
309,111,E Springfield,61820,6046
310,916,N College Ave,47404,7149
311,530,N Lincoln St,47408,7149
312,400,West First St,27834,14445
313,1000,South Clack St,79605,23556
314,505,Stoughton Road,53534,26885
315,720,Greenway CT,54455,27126
316,230,S Grant St,47906,7763
317,620,South St,47901,7419
318,455,N Grant St,47906,7763
319,29,Knoll CT,27529,14418
320,155,South Angelina Dr,92870,2422
321,5200,Annapolis Ln North,55446,12319
322,3005,Eagandale Place,55121,11943
323,5030,SE Stephens St,97215,20399
324,17701,SE Mill Plain Boulevard,98683,26657
325,1344,Carriage Hill Lane,45013,18913
326,3940,Harmony Dr,80917,2872
327,0,1 Water St,01830,9763
328,2237,E 56th Avenue,99507,11
329,124,E 3rd Avenue,99501,11
330,5901,E 6th Avenue,99504,11
331,0,2201 104th St South,98444,26631
332,505,Riverbend Parkway,30605,4007
333,4726 4740,South Woodlawn Avenue,60615,6061
334,8705,Southwestern Blvd,75206,23860
335,9190,Richmond Hwy,22060,25476
336,1048,Flat Shoals Rd,30349,4101
337,655,Powell St,94108,2528
338,700,South Reed CT,80226,3012
339,3405,Sweetwater Rd,30044,4273
340,2800,South 25th St,79605,23556
341,8201,Dorado Dr,79765,24476
342,1560,Boulder St,80211,2894
343,240,Yoakum Parkway,22304,25230
344,9901,Langs Road,21220,10082
345,330,East Roosevelt St,85004,1494
346,4980,Usaa Boulevard,78240,24678
347,9931,Hyatt Resort Dr,78251,24678
348,5455,Richmond Avenue,77002,24133
349,3587,Round Barn Boulevard Manager Office,95403,2564
350,9435,Middle Fiskville,78753,23607
351,1008,North 109th St,98133,26593
352,1845-47,N 6th St,19122,21657
353,400,Green Leaf,78657,24132
354,121,Beach,50014,4689
355,6800,Lingor,48346,11042
356,22100,Erwin St,91367,2783
357,425 E 200,S,84111,25172
358,4021,W Palmetto St,29501,22421
359,27,NE 79th Avenue,97213,20399
360,0,1925 10th Ave 101-306,94606,2341
361,0,2711 23rd Ave 01-12,94606,2341
362,11703,NE 18th St,98684,26657
363,0,1112 32nd Ave SW,58701,15138
364,8539,Gate Parkway W #131,32216,3706
365,11857,Campfire Story Ln Orange,32832,3834
366,501,E Oltorf,78704,23607
367,2609,Verity Lane,58554,15111
368,0,1405 8th St NW,58703,15138
369,0,405 11th Ave SW,58701,15138
370,316,N Lamar Boulevard,78703,23607
371,2302,Durwood St,78704,23607
372,12001,Dessau Rd,78754,23607
373,11711,Domain Dr,78758,23607
374,201,Bonnieville Dr,35040,295
375,501,W 3rd St,78701,23607
376,11301,Farrah Ln,78748,23607
377,2810,Manchaca Road,78704,23607
378,801,C-Bar Ranch Trail,78613,23767
379,3700,E 98th Terrace,64137,12967
380,838,NE 66th St,98115,26593
381,2975,Blackburn St Apartment 678,75204,23860
382,0,7722 40th St West,98466,26652
383,318,N 38th Avenue,39401,13581
384,7711,Oconnor Drive,78681,24655
385,16411,Jadestone Terrace Lane,77044,24133
386,725,Tehama St Unit 2,94103,2528
387,2260,Pine Tree Road,48842,11256
388,208,Somerset Bay Drive,21061,10226
389,362,Klagg Court,21061,10226
390,421,W Gilman St,53703,27073
391,4561,South Whitnall Ave,53235,27259
392,2510,N Henderson,75206,23860
393,100,Bryn Mawr CT,15221,21668
394,16014,Arapaho Bend Ln,77429,23854
395,500,Bartlett St,94110,2528
396,802,South 14th St,68108,15634
397,301,South Inspiration Rd,78572,24402
398,1025,S Donaghey Avenue,72034,866
399,2013,Mansker Dr,37072,23222
400,413,South Henderson St,47401,7149
401,1800,S Huntington Gardens Place,47404,7149
402,2663,E 7th St,47408,7149
403,421 429 439 441,South Dunn St,47401,7149
404,530,E Bear Boulevard,65807,13312
405,1028,E St Louis St,65802,13312
406,0,680 6th Avenue NE,35404,710
407,2000,Connecticut Ave NW,20008,3439
408,0,901 10th Avenue W 16,58078,15260
409,0,1225 20th St SE,55904,12348
410,320,S Grant St,47906,7763
411,641,North Franklin St,45891,19476
412,376,Collinsworth Dr,27527,14308
413,11411,Long Lake Dr,46235,7390
414,1805,Stephens Pond View,30052,4287
415,2350,E Water St,85719,1570
416,14010,Dorcas Plaza,68144,15634
417,4019,Vance Jackson,78213,24678
418,3099,Parham Drive,75052,24062
419,0,390 9th Avenue SW,55025,11997
420,3970,Brelsford Lane,43016,18804
421,1000,Penn Center Boulevard,15235,21668
422,5955,SE Milwaukie Avenue,97202,20399
423,1803,Marshall,78214,24678
424,11846,Perry St,66210,8245
425,26,Seabreeze Dr,02748,9954
426,7755,Kaleb Grove,80920,2872
427,17717,Vail St,75287,23860
428,0,550 14th Rd South,22202,25241
429,3417,North Midland Dr,79707,24386
430,0,3146 16th St NW,20010,3439
431,823,E Main St,23219,25786
432,2100,West Arrow Route,91786,2705
433,300,Prospect Ave,07601,16218
434,10422,Huebner Road,78240,24678
435,5339 5345,S Woodlawn,60615,6061
436,3300,Sage,77002,24133
437,5740,San Felipe,77002,24133
438,2931,Barker Cypress Rd,77002,24133
439,12655,West Houston Center Blvd,77002,24133
440,2700,Woodland Park Apts,77002,24133
441,110,S College Avenue,65201,12719
442,5327,Hermitage Avenue,91607,2714
443,7210,N Burlington Avenue,97203,20399
444,4321,SW Genesee St,98116,26593
445,3535,Grand Ave South,55408,12225
446,182,Nexus Loop,95110,2534
447,7549,Lacie Jay Ln,37363,23390
448,2465,Kuhio Ave 1606,96815,4600
449,3516,Upland Ridge Dr,73099,20143
450,2616,NW 59th St,98107,26593
451,659 S 1200,E,84102,25172
452,1200,Esplanade,90277,2472
453,398,Federal Rd,06804,3215
454,1016,N 39th St,58203,15046
455,121,W Main St,06460,3302
456,2104,San Gabriel St,78705,23607
457,14820,Piper Ln,49417,11200
458,10027,SE Harold St,97266,20399
459,12100,Metric Boulevard,78758,23607
460,0,121st Ln,79424,24315
461,367,Sunny Oaks Way,32159,3723
462,101,Prosper Way,08723,16094
463,1329,West Mary,78704,23607
464,8600 Hwy 71,West,78735,23607
465,1824,S I.H 35,78704,23607
466,2345,Florence St,80010,2817
467,1900,Onion Creek Parkway,78748,23607
468,4201,Monterey Oaks Boulevard,78749,23607
469,12612,N Lamar Boulevard,78753,23607
470,5401,E Parmer Ln,78754,23607
471,1630,E 6th St,78702,23607
472,3622,Manchaca,78704,23607
473,10282,Taylor Draper,78759,23607
474,680,Naumann Drive,78641,24258
475,2502,Rockhill Road,75070,24361
476,7000,Roosevelt Way NE #304,98115,26593
477,8801,North Fm 620,78726,23607
478,308,E 7th St,47408,7149
479,5000,Curran CT,58201,15046
480,2101,Burton Drive,78741,23607
481,500,Bowie Drive Apartment 107,45417,18781
482,5633,Topanga Canyon Boulevard,91367,2783
483,8601,Anderson Mill Road Apartment 23078,78729,23607
484,0,385 10th St Apartment 3,94103,2528
485,2060,Zocolo St,93030,2367
486,608,Dayton Rd,76063,24330
487,1606,E Hyde Park Boulevard,60615,6061
488,5452 5466,S Ellis Ave,60615,6061
489,5668624591,Unknown,20724,10277
490,200,Skidmore Boulevard,20877,10216
491,3425,Locust St,64109,12967
492,13775,SW 6th St,97005,20171
493,801,South 15th St,68108,15634
494,333,Laurel St,70802,9183
495,812,W Nevada,61801,6995
496,516,N Grant St,47408,7149
497,2104,College St,50613,4798
498,514 S 1990,E,84790,25169
499,400,Hayden Road,32304,3929
500,422,Harrison St,47906,7763
501,101,Shamrock Cir,46064,7593
502,142,Quiet Grove Dr,29072,22497
503,5160,E Cheryl Parkway,53711,26915
504,0,957 7th Avenue SW,55025,11997
505,5800,American Boulevard W,55437,11813
506,4611-4645,Stoner Ave,90230,1851
507,2640,SE Ankeny St,97214,20399
508,910,N Harbour Dr,97217,20399
509,7575,W 106th St,66212,8245
510,1542,Citrin Place,46227,7390
511,2365,Sir Barton Rd,40509,8803
512,251,Chippendale Cir,40517,8803
513,3314,Wickslow Road,28412,14887
514,5707,Beau Barton Place,32807,3834
515,1725,Quinn Berry CT,30135,4145
516,18,East Meadow Ln,01854,9806
517,1413,San Bernardino,91786,2705
518,21200,Kittridge St,91303,2783
519,755,E 19th Avenue,80203,2894
520,6008,Maple Avenue,75235,23860
521,150,Rivers Edge Drive,02155,9824
522,5270,N O'Connor Boulevard,75039,24160
523,2821,Carlisle St,75204,23860
524,6201,Hollywood Boulevard,90028,2196
525,432,Cape Jasmine Way,29073,22497
526,205,Pebblebrook Ln,75154,24044
527,620,W Belmont,60657,6061
528,0,290 9th Avenue SW,55025,11997
529,5514,Griggs Rd,77002,24133
530,2525,McCue Road,77002,24133
531,6620,Gessner Rd,77002,24133
532,3710,Sherwood Ln,77092,24133
533,6944,Knowlton Place,90045,2196
534,3700,N Paulina,60613,6061
535,0,1684 8th Avenue,97068,20491
536,402 S 860,E,84003,24969
537,913,N Chelton Rd,80909,2872
538,1760,Avenida Del Mundo Unit 508,92118,1834
539,95,Port Of,92118,1834
540,4105,Wisconsin Ave NW,20016,3439
541,5709,Rowland Road,55343,12229
542,1002,N 39th St,58203,15046
543,9071,Dallas St,91942,2129
544,1706,West Farmville Rd,36830,252
545,39,Melano St,57701,22934
546,2836,NE Killingsworth St,97211,20399
547,1640-1650,SE Tacoma St,97202,20399
548,870,Vine St,37403,23112
549,999,E Baseline Rd,85283,1557
550,5405,Ashlar Avenue,22932,25398
551,4524,NE 6th Avenue,97211,20399
552,425 E Calgary Avenue/3635-3645,Valcartier St,58503,14942
553,0,2650 26th Ave S,58201,15046
554,5668633383,Unknown,78701,23607
555,810,S Spring St,90014,2196
556,1219,South Lamar Boulevard,78704,23607
557,2187,Cypress Dr,55125,12523
558,0,Somerset West 18205 NW Bronson Rd,97229,20399
559,105,Runnymede Avenue,19087,22062
560,720,S Plaza Way,55120,12216
561,702,Trenton Rd,45067,19458
562,8000 US 290,West,78736,23607
563,409,E William Cannon,78745,23607
564,4269,Virginia Ave,45223,18730
565,6500,Manchaca Road,78745,23607
566,1108,Legacy Dr,78660,24530
567,1249,Griswold St,48226,11096
568,912,Red River St,78701,23607
569,0,8123 45th Court E 4,34243,3903
570,104,N 104th St #303,98133,26593
571,4532,Walnut St Unit B13,19139,21657
572,6848,Bandera Avenue Unit 847,75225,23860
573,7100,Bluff Springs Road,78744,23607
574,781,Hathaway Dr,80915,2872
575,405,Grand Wailea Drive,28348,14490
576,136,Noe St,94114,2528
577,11908,Anderson Mill Rd,78726,23607
578,302,Apple Creek Dr,78626,24035
579,4835,Dodge St,68132,15634
580,1420,Woodridge Place,35071,426
581,27,Pratt St,02134,9606
582,8499,Fountain Avenue,90069,2748
583,925,Laprairie St,48220,11153
584,100,Country Circle,43767,19233
585,1895,South Logan St,80210,2894
586,488,NE 18th St Unit 4105,33132,3782
587,1007,E Roma Avenue,85014,1494
588,9031,Phyllis Ave Unit 6,90069,2196
589,810,North Loara,92801,1621
590,4009,Ontario St,50014,4689
591,5656,Live Oak,75206,23860
592,27,E 7th St,85281,1557
593,0,260 5th St E,55101,12380
594,21427,Ryans Path Ln,77073,24133
595,1503,Forest CT,30188,4568
596,5668623923,Unknown,21206,10082
597,3421,Locust St,64109,12967
598,8838,Flora Avenue,64131,12967
599,1024,Calvin St,66102,8092
600,4110,NE Tillamook St,97212,20399
601,6215,Via Lane Cantera,78256,24678
602,1221,S 71st St,68106,15634
603,222,E Houston Suite 600,78205,24678
604,2401-2411,Saluaris,45206,18730
605,605,S.W 119th St,73170,19958
606,1290 1310,Delaware Avenue,14209,17192
607,120,S Kingston Drive,47408,7149
608,560,W Bryant St,65810,13312
609,1725,S Marion Avenue,65807,13312
610,1235,E Guinevere St,65804,13312
611,3200,Lakeside Drive,89509,16992
612,204,Southfield St,49252,11346
613,2518,Leisure Ln,47720,7284
614,375,Fletcher Ave,68521,15555
615,2800,S 72nd St,68506,15555
616,1001,University Ave,79401,24315
617,1301,East Northstar Ln,57108,22960
618,506,W Elm,61801,6995
619,3761,N White Hawk Dr,54913,26711
620,120,S Salisbury St,47906,7763
621,340,Vine St,47906,7763
622,3012,Butterfield CT,47909,7419
623,318,Elkhart Avenue,46516,7276
624,1981,Randolph Place,22601,25938
625,1713,Cassell Road,66502,8152
626,410,Starmont Park Boulevard,28027,14324
627,2900,El Camino Avenue,89102,16967
628,801,Montclair Road,35213,271
629,7350,South Garnett Rd,74012,19635
630,16,N Franklin St,53705,27073
631,46,N Breese Terrace,53726,27073
632,415,Oak Grove St,55403,12225
633,1100,SE 12th Avenue,97214,20399
634,350,E Armour Blvd,64111,12967
635,11723,Watermark Way,46037,7294
636,6371,Winchester Road,38115,23337
637,1002,SW 89th,73139,19958
638,640,East Wilmington Ave,84106,25172
639,700,Mansion Cir,37405,23112
640,101,Compton Dr,40601,8661
641,820,Ryland St,89502,16992
642,220,Wareham Rd,02360,9905
643,161,W Kinzie St,60654,6061
644,6533,East Medalist Cir,75032,24542
645,1600,Santavy St,77521,23636
646,1700,Northside Dr NW,30318,4008
647,12355,Alcosta Boulevard,94583,2550
648,0,3520 27th Place W,98199,26593
649,2129,Maltby Rd,98021,26257
650,4715,West Wadley Ave,79707,24386
651,1410,Columbia Rd,02127,9643
652,360,S Monroe St,80209,2894
653,5101,Overton Ridge Boulevard,76132,24000
654,3848,North 3rd Avenue,85013,1494
655,2529,West Cactus Road,85029,1494
656,10615,Meadowglen Lane,77002,24133
657,10333,Liverpool Way,46236,7390
658,1617,Village Park Trail,76028,23728
659,16000,Rushmore Ave,72223,1061
660,12700 Fm 1960,Rd,77002,24133
661,13960,Hillcroft St,77002,24133
662,15015,West Airport Boulevard,77478,24785
663,809,Avenue G 2,34945,3643
664,3322,Tropic Ln #5,50702,5536
665,2404,N Reeves Avenue,73127,19958
666,1620,Detroit St,80206,2894
667,1500,Bell Ridge Rd,37601,23278
668,581,Livingston Avenue,12206,17028
669,294,Pearl Road,44212,18672
670,11441 N Interstate 35,Apartment 1138,78753,23607
671,329,South St,19147,21657
672,1146-1152,Magnolia Avenue,90813,2190
673,3405,Northwest Avenue,98225,26247
674,4175,North Oakland Ave,53211,27113
675,0,Heritage Manor 308 Valley View,98942,26597
676,5708,Outlook,66202,8183
677,0,1117 13th Avenue S,58201,15046
678,2399,Riverwalk Drive #203,83706,5613
679,6060,N 7th St,85014,1494
680,25,High St,06460,3302
681,1295,Shades Terrace,35210,486
682,99,W California Avenue #103,55117,12380
683,811,East 11th St,78702,23607
684,0,Boulder Creek I 7601 West Boulder Creek Place,57106,22960
685,0,1540-1542 5th St SW,58701,15138
686,8050,Arlington Expressway,32211,3706
687,13535,Lyndhurst St,78729,23607
688,1225,S Ingram Mill Road,65804,13312
689,1008 W 25 1/2,St,78705,23607
690,2533,Hillegass Ave Unit 302,94704,1676
691,2000,Fm 1460,78626,24035
692,2823,E Mlk,78702,23607
693,8001 Highway 71,West,78735,23607
694,8108,San Felipe Boulevard,78729,23607
695,404-406,E 30th St,78705,23607
696,1801,Wells Branch Parkway,78728,23607
697,12261,Fondren Road,77002,24133
698,2996,West McMicken,45225,18730
699,19327,Talavera Ridge,78257,24678
700,2507,Burleson Road,78741,23607
701,9024,Northgate Boulevard,78758,23607
702,4901,Phinney Avenue N #104,98103,26593
703,9817,Lawndale,64137,12967
704,1630,Buena Vista Ave,94550,2177
705,61,E 21st St,60616,6061
706,2401,W Morrison Avenue  211,33629,3930
707,46-098,Konohiki St #3311,96744,4612
708,4719,Harmon Avenue,78751,23607
709,4102-4302,Shoal Loop SE,58554,15111
710,1600,Wards Ferry Road Unit 202,24502,25625
711,5415,N Foster Road,78244,24678
712,0,6 Miller Dr,72714,790
713,1336,Birch Tree Lane,49686,11662
714,603,Hampshire Road,91361,2751
715,525,W Deming Place,60614,6061
716,9600,Escarpment Boulevard,78749,23607
717,514,Viewmont Drive,98908,26689
718,710,Golden Oak Dr,94086,2644
719,40,Canterbury Lane,60424,6272
